event_id,event_type,merchant_id,merchant_name,customer_id,customer_phone,customer_name,amount_paise,currency,created_at,mandate_id,cycle,original_failure_code,original_failure_desc,cart_id,cart_value_paise,time_since_abandonment_minutes,return_visit_signal,discount_eligible,ground_truth_recoverable,ground_truth_class
EVT_0001,failed_payment,merchant_002,Spotify,cust_018,+917440213415,Customer 1,19900,INR,2026-08-30T14:37:02.554712+00:00,mandate_044,12,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,False,funds
EVT_0002,failed_payment,merchant_001,Netflix India,cust_012,+917939042955,Customer 2,499900,INR,2026-08-30T14:37:02.554712+00:00,mandate_015,9,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0003,failed_payment,merchant_005,GymFlex,cust_029,+918929338154,Customer 3,499900,INR,2026-08-30T14:37:02.554712+00:00,mandate_038,5,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0004,failed_payment,merchant_003,Hotstar,cust_020,+917924765563,Customer 4,19900,INR,2026-08-30T14:37:02.554712+00:00,mandate_049,6,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,False,funds
EVT_0005,failed_payment,merchant_003,Hotstar,cust_078,+918136108454,Customer 5,19900,INR,2026-08-30T14:37:02.554712+00:00,mandate_003,12,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0006,failed_payment,merchant_004,Netflix India,cust_071,+918259191105,Customer 6,199900,INR,2026-08-30T14:37:02.554712+00:00,mandate_041,10,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0007,failed_payment,merchant_001,Netflix India,cust_085,+917978815630,Customer 7,99900,INR,2026-08-30T14:37:02.554712+00:00,mandate_050,5,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0008,failed_payment,merchant_004,Hotstar,cust_059,+919730243887,Customer 8,19900,INR,2026-08-30T14:37:02.554712+00:00,mandate_024,3,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,False,funds
EVT_0009,failed_payment,merchant_003,Netflix India,cust_078,+919727210979,Customer 9,99900,INR,2026-08-30T14:37:02.554712+00:00,mandate_011,9,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0010,failed_payment,merchant_003,EMI Card,cust_029,+919940395823,Customer 10,49900,INR,2026-08-30T14:37:02.554712+00:00,mandate_021,1,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0011,failed_payment,merchant_004,Hotstar,cust_009,+917906164396,Customer 11,49900,INR,2026-08-30T14:37:02.554712+00:00,mandate_037,12,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,False,funds
EVT_0012,failed_payment,merchant_004,GymFlex,cust_019,+918137651678,Customer 12,99900,INR,2026-08-30T14:37:02.554712+00:00,mandate_009,4,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,False,funds
EVT_0013,failed_payment,merchant_005,GymFlex,cust_075,+918715412119,Customer 13,499900,INR,2026-08-30T14:37:02.554712+00:00,mandate_024,4,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0014,failed_payment,merchant_001,Netflix India,cust_020,+919694860228,Customer 14,49900,INR,2026-08-30T14:37:02.554712+00:00,mandate_011,11,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0015,failed_payment,merchant_004,EMI Card,cust_060,+919272528809,Customer 15,199900,INR,2026-08-30T14:37:02.554712+00:00,mandate_017,9,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0016,failed_payment,merchant_005,Hotstar,cust_099,+919752909971,Customer 16,19900,INR,2026-08-30T14:37:02.554712+00:00,mandate_022,2,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,False,funds
EVT_0017,failed_payment,merchant_001,Hotstar,cust_065,+917767303988,Customer 17,99900,INR,2026-08-30T14:37:02.554712+00:00,mandate_033,2,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0018,failed_payment,merchant_002,Hotstar,cust_098,+917693847829,Customer 18,99900,INR,2026-08-30T14:37:02.554712+00:00,mandate_035,9,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,False,funds
EVT_0019,failed_payment,merchant_001,Netflix India,cust_047,+918320763135,Customer 19,19900,INR,2026-08-30T14:37:02.554712+00:00,mandate_016,1,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0020,failed_payment,merchant_001,GymFlex,cust_009,+919287955558,Customer 20,49900,INR,2026-08-30T14:37:02.554712+00:00,mandate_050,3,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,False,funds
EVT_0021,failed_payment,merchant_002,Hotstar,cust_068,+919605301030,Customer 21,49900,INR,2026-08-30T14:37:02.554712+00:00,mandate_028,4,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,False,funds
EVT_0022,failed_payment,merchant_004,Hotstar,cust_057,+919222971316,Customer 22,499900,INR,2026-08-30T14:37:02.554712+00:00,mandate_029,2,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,False,funds
EVT_0023,failed_payment,merchant_001,EMI Card,cust_071,+917988335251,Customer 23,49900,INR,2026-08-30T14:37:02.554712+00:00,mandate_038,4,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0024,failed_payment,merchant_001,Spotify,cust_009,+917134917627,Customer 24,19900,INR,2026-08-30T14:37:02.554712+00:00,mandate_022,2,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,False,funds
EVT_0025,failed_payment,merchant_004,Spotify,cust_070,+917568275055,Customer 25,499900,INR,2026-08-30T14:37:02.554712+00:00,mandate_047,10,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
EVT_0026,failed_payment,merchant_004,GymFlex,cust_025,+917405126228,Customer 26,499900,INR,2026-08-30T14:37:02.554712+00:00,mandate_007,11,BAD_REQUEST,Insufficient funds in customer account,,,,False,False,True,funds
